Test_Name;Section_Name;Section_Number;Sample_Set_Number;Rep_Number;Rep_Name;Person;Gender;Age;Nationality;Dietary_lifestyle;Oat/Oatmeal_familiarity;Freq_oat_consumption;Freq_ryebread_consumption;grams_whole_grain_per_day_recommendation;slices_ryebread_to_meet_recommendation;I_like_oat_/_oatmeal;I_like_ryebread;It_is_easy_to_consume_the_recommended_amount_of_wholegrain_per_day
MST2024 Experiment template;First Section;1;1;1;Rep 1;99;1.000;54;Danish;3.000;4.000;4.000;4.000;3.000;6.000;8;9;6
MST2024 Experiment template;First Section;1;2;1;Rep 1;98;1.000;23;Spanish;1.000;4.000;4.000;3.000;1.000;5.000;8;5;9
MST2024 Experiment template;First Section;1;3;1;Rep 1;5;1.000;26;British;2.000;4.000;6.000;3.000;2.000;2.000;8;7;6
MST2024 Experiment template;First Section;1;4;1;Rep 1;36;1.000;32;Nepali;2.000;3.000;4.000;4.000;4.000;1.000;7;7;6
MST2024 Experiment template;First Section;1;6;1;Rep 1;6;1.000;22;Taiwanese;2.000;4.000;5.000;4.000;1.000;1.000;9;9;9
MST2024 Experiment template;First Section;1;7;1;Rep 1;17;1.000;25;Danish;2.000;4.000;6.000;4.000;3.000;1.000;7;8;6
MST2024 Experiment template;First Section;1;8;1;Rep 1;4;1.000;26;Danish;1.000;4.000;6.000;5.000;2.000;4.000;8;8;7
MST2024 Experiment template;First Section;1;9;1;Rep 1;9;1.000;24;Canadian;2.000;4.000;4.000;3.000;2.000;1.000;8;4;6
MST2024 Experiment template;First Section;1;10;1;Rep 1;10;1.000;28;Danish;2.000;3.000;3.000;3.000;3.000;5.000;7;7;5
MST2024 Experiment template;First Section;1;11;1;Rep 1;22;1.000;27;Danish;2.000;4.000;7.000;6.000;3.000;3.000;;;
MST2024 Experiment template;First Section;1;13;1;Rep 1;3;1.000;28;Danish;2.000;4.000;5.000;3.000;3.000;1.000;8;6;6
MST2024 Experiment template;First Section;1;14;1;Rep 1;8;2.000;26;Dansk;2.000;4.000;6.000;5.000;3.000;3.000;8;9;9
MST2024 Experiment template;First Section;1;16;1;Rep 1;7;2.000;26;Danish;3.000;4.000;5.000;3.000;3.000;1.000;7;8;6
MST2024 Experiment template;First Section;1;17;1;Rep 1;13;1.000;26;Danish;3.000;4.000;5.000;5.000;3.000;3.000;7;7;6
MST2024 Experiment template;First Section;1;18;1;Rep 1;12;1.000;25;Croatian;2.000;3.000;5.000;1.000;2.000;2.000;7;4;5
MST2024 Experiment template;First Section;1;19;1;Rep 1;24;1.000;34;British;4.000;3.000;3.000;2.000;3.000;3.000;3;8;5
MST2024 Experiment template;First Section;1;20;1;Rep 1;11;2.000;38;British;5.000;4.000;6.000;1.000;4.000;7.000;9;7;7
MST2024 Experiment template;First Section;1;21;1;Rep 1;1;2.000;25;German;4.000;4.000;4.000;4.000;2.000;3.000;6;7;4
MST2024 Experiment template;First Section;1;23;1;Rep 1;22;1.000;27;Danish;2.000;4.000;7.000;6.000;3.000;3.000;8;8;7
MST2024 Experiment template;First Section;1;24;1;Rep 1;26;1.000;25;Danish;2.000;4.000;7.000;3.000;4.000;1.000;8;7;6
MST2024 Experiment template;First Section;1;25;1;Rep 1;30;1.000;27;Danish;2.000;4.000;5.000;5.000;3.000;3.000;7;8;9
MST2024 Experiment template;First Section;1;26;1;Rep 1;38;1.000;27;Danish;2.000;4.000;6.000;6.000;3.000;5.000;8;7;7
MST2024 Experiment template;First Section;1;27;1;Rep 1;46;1.000;24;Polish;2.000;4.000;4.000;4.000;3.000;1.000;8;6;4
MST2024 Experiment template;First Section;1;28;1;Rep 1;34;1.000;24;Danish;1.000;4.000;4.000;4.000;3.000;5.000;8;9;6
MST2024 Experiment template;First Section;1;29;1;Rep 1;28;1.000;28;Danish;2.000;3.000;3.000;3.000;3.000;1.000;8;8;9
MST2024 Experiment template;First Section;1;30;1;Rep 1;44;1.000;26;Danish;3.000;4.000;5.000;6.000;3.000;3.000;8;9;7
MST2024 Experiment template;First Section;1;31;1;Rep 1;32;1.000;29;Chinese;2.000;4.000;5.000;2.000;2.000;7.000;8;3;4
MST2024 Experiment template;First Section;1;32;1;Rep 1;25;1.000;30;Danish;1.000;4.000;4.000;3.000;4.000;1.000;7;7;3
MST2024 Experiment template;First Section;1;33;1;Rep 1;42;1.000;27;Danish;2.000;4.000;5.000;6.000;1.000;1.000;7;9;7
MST2024 Experiment template;First Section;1;34;1;Rep 1;29;1.000;35;Nepali;2.000;4.000;4.000;3.000;2.000;2.000;7;7;7
MST2024 Experiment template;First Section;1;35;1;Rep 1;35;1.000;25;Dansk;2.000;3.000;2.000;4.000;3.000;3.000;4;7;9
MST2024 Experiment template;First Section;1;36;1;Rep 1;37;1.000;30;Nepalese;1.000;3.000;3.000;4.000;1.000;1.000;6;7;7
MST2024 Experiment template;First Section;1;37;1;Rep 1;27;2.000;30;Hungarian;5.000;3.000;3.000;1.000;4.000;1.000;8;1;9
MST2024 Experiment template;First Section;1;38;1;Rep 1;33;1.000;32;German;4.000;4.000;6.000;5.000;3.000;1.000;9;8;5
MST2024 Experiment template;First Section;1;39;1;Rep 1;45;2.000;28;Danish;1.000;4.000;5.000;4.000;2.000;5.000;7;7;4
MST2024 Experiment template;First Section;1;40;1;Rep 1;41;2.000;35;Congolese;2.000;3.000;2.000;4.000;2.000;7.000;7;8;5
MST2024 Experiment template;First Section;1;41;1;Rep 1;40;1.000;29;American;1.000;3.000;3.000;4.000;2.000;1.000;5;7;7
MST2024 Experiment template;First Section;1;42;1;Rep 1;43;1.000;23;German;4.000;4.000;3.000;2.000;4.000;2.000;7;7;7
MST2024 Experiment template;First Section;1;43;1;Rep 1;31;1.000;27;Irish;2.000;4.000;5.000;3.000;2.000;5.000;7;4;3
MST2024 Experiment template;First Section;1;44;1;Rep 1;39;1.000;29;Danish;1.000;4.000;4.000;6.000;3.000;3.000;7;7;9
MST2024 Experiment template;First Section;1;47;1;Rep 1;77;1.000;54;Dk;3.000;4.000;4.000;4.000;3.000;6.000;3;8;5
